month,day,year,date,days,deaths,tsp,temp
1,1,1974,01jan1974,1,46,47.330002,38.25
1,2,1974,02jan1974,2,52,78,30
1,3,1974,03jan1974,3,58,59.5,30.75
1,4,1974,04jan1974,4,62,71.330002,31.75
1,5,1974,05jan1974,5,65,141.10001,27.25
1,6,1974,06jan1974,6,53,158,31.75
1,7,1974,07jan1974,7,67,132,33.25
1,8,1974,08jan1974,8,60,84.330002,27.25
1,9,1974,09jan1974,9,56,72.330002,29.25
1,10,1974,10jan1974,10,59,84.330002,28.75
1,11,1974,11jan1974,11,65,102.5,34.25
1,12,1974,12jan1974,12,60,70.330002,29.5
1,13,1974,13jan1974,13,58,149,20.75
1,14,1974,14jan1974,14,47,168,24.5
1,15,1974,15jan1974,15,61,128,33.5
1,16,1974,16jan1974,16,66,157.5,39
1,17,1974,17jan1974,17,53,130.39999,38.75
1,18,1974,18jan1974,18,41,148.7,20
1,19,1974,19jan1974,19,57,101.7,35.25
1,20,1974,20jan1974,20,53,60,32.5
1,21,1974,21jan1974,21,62,80,42.25
1,22,1974,22jan1974,22,70,126.3,42.75
1,23,1974,23jan1974,23,52,188.3,46.75
1,24,1974,24jan1974,24,72,76,41.5
1,25,1974,25jan1974,25,51,138,39.75
1,26,1974,26jan1974,26,55,148.3,36.75
1,27,1974,27jan1974,27,57,86,55.5
1,28,1974,28jan1974,28,54,159.5,48.5
1,29,1974,29jan1974,29,62,103.1,48.75
1,30,1974,30jan1974,30,38,139,47.5
1,31,1974,31jan1974,31,69,153,46
2,1,1974,01feb1974,32,46,76.330002,37
2,2,1974,02feb1974,33,46,85,33.5
2,3,1974,03feb1974,34,63,37.5,25.5
2,4,1974,04feb1974,35,65,84.82,24.25
2,5,1974,05feb1974,36,52,81,18.25
2,6,1974,06feb1974,37,56,96.5,23.5
2,7,1974,07feb1974,38,51,77.5,33.75
2,8,1974,08feb1974,39,46,54,23
2,9,1974,09feb1974,40,64,62.330002,19.75
2,10,1974,10feb1974,41,62,120.1,20.25
2,11,1974,11feb1974,42,68,103,28
2,12,1974,12feb1974,43,60,130.3,32.5
2,13,1974,13feb1974,44,64,127.3,39.5
2,14,1974,14feb1974,45,66,89.5,38.75
2,15,1974,15feb1974,46,52,82,28.25
2,16,1974,16feb1974,47,56,98.550003,28.25
2,17,1974,17feb1974,48,53,73,36
2,18,1974,18feb1974,49,74,85,31.5
2,19,1974,19feb1974,50,63,71.330002,41
2,20,1974,20feb1974,51,53,82,44.75
2,21,1974,21feb1974,52,50,88.330002,38.5
2,22,1974,22feb1974,53,60,92.669998,54.25
2,23,1974,23feb1974,54,71,90,40
2,24,1974,24feb1974,55,39,45.5,32.25
2,25,1974,25feb1974,56,56,59,31.25
2,26,1974,26feb1974,57,56,72.669998,25
2,27,1974,27feb1974,58,47,144.7,28.5
2,28,1974,28feb1974,59,51,145.10001,40.5
3,1,1974,01mar1974,60,65,66,46.25
3,2,1974,02mar1974,61,56,94.669998,40.25
3,3,1974,03mar1974,62,60,89,45.5
3,4,1974,04mar1974,63,83,192,60.75
3,5,1974,05mar1974,64,56,87,62
3,6,1974,06mar1974,65,60,119.2,48.25
3,7,1974,07mar1974,66,58,142.5,53.25
3,8,1974,08mar1974,67,42,83.330002,50
3,9,1974,09mar1974,68,37,31.67,38.5
3,10,1974,10mar1974,69,41,48.5,45
3,11,1974,11mar1974,70,54,57,39
3,12,1974,12mar1974,71,67,94.790001,40.75
3,13,1974,13mar1974,72,56,125,30.25
3,14,1974,14mar1974,73,59,80,36.75
3,15,1974,15mar1974,74,49,88,40.25
3,16,1974,16mar1974,75,59,56.330002,49.75
3,17,1974,17mar1974,76,45,45,39
3,18,1974,18mar1974,77,53,98.900002,40.25
3,19,1974,19mar1974,78,51,78.669998,47
3,20,1974,20mar1974,79,53,74.330002,42.5
3,21,1974,21mar1974,80,52,54,42.75
3,22,1974,22mar1974,81,51,69,39.25
3,23,1974,23mar1974,82,52,54.330002,46.75
3,24,1974,24mar1974,83,47,93.459999,49.25
3,25,1974,25mar1974,84,37,,29.75
3,26,1974,26mar1974,85,55,102.3,37.5
3,27,1974,27mar1974,86,60,73.669998,42
3,28,1974,28mar1974,87,60,100,45.5
3,29,1974,29mar1974,88,55,55,35.5
3,30,1974,30mar1974,89,46,44.5,41
3,31,1974,31mar1974,90,40,33.5,40.5
4,1,1974,01apr1974,91,55,109,45
4,2,1974,02apr1974,92,52,123,49
4,3,1974,03apr1974,93,47,159.7,57.25
4,4,1974,04apr1974,94,48,61.330002,66.5
4,5,1974,05apr1974,95,42,73.290001,58.5
4,6,1974,06apr1974,96,60,51.669998,44
4,7,1974,07apr1974,97,58,58,45
4,8,1974,08apr1974,98,48,84,49.5
4,9,1974,09apr1974,99,49,35,42.25
4,10,1974,10apr1974,100,48,61.330002,40.5
4,11,1974,11apr1974,101,49,89.199997,48.25
4,12,1974,12apr1974,102,71,76.330002,55.5
4,13,1974,13apr1974,103,69,52,60.5
4,14,1974,14apr1974,104,48,48,58
4,15,1974,15apr1974,105,53,,59.25
4,16,1974,16apr1974,106,46,76,53
4,17,1974,17apr1974,107,59,94.230003,54.75
4,18,1974,18apr1974,108,54,120.7,58.25
4,19,1974,19apr1974,109,50,101,50.25
4,20,1974,20apr1974,110,57,76.5,50.75
4,21,1974,21apr1974,111,50,84,59.25
4,22,1974,22apr1974,112,53,110,67
4,23,1974,23apr1974,113,43,100.9,61.25
4,24,1974,24apr1974,114,46,63.669998,49
4,25,1974,25apr1974,115,46,64,52.75
4,26,1974,26apr1974,116,51,102,58.5
4,27,1974,27apr1974,117,61,72,59.5
4,28,1974,28apr1974,118,50,120,62.75
4,29,1974,29apr1974,119,66,206.7,73.75
4,30,1974,30apr1974,120,58,151.3,75.25
5,1,1974,01may1974,121,44,214.5,68.5
5,2,1974,02may1974,122,41,77,53
5,3,1974,03may1974,123,44,72.669998,54.25
5,4,1974,04may1974,124,48,61.669998,55.75
5,5,1974,05may1974,125,50,59.779999,50
5,6,1974,06may1974,126,64,69,52.25
5,7,1974,07may1974,127,57,60.330002,48.75
5,8,1974,08may1974,128,45,101.7,52
5,9,1974,09may1974,129,52,93.669998,58.75
5,10,1974,10may1974,130,45,82.669998,62
5,11,1974,11may1974,131,47,101.8,57.75
5,12,1974,12may1974,132,48,85.330002,62.25
5,13,1974,13may1974,133,45,81,56.25
5,14,1974,14may1974,134,44,93.669998,63.25
5,15,1974,15may1974,135,41,104.7,72.25
5,16,1974,16may1974,136,41,104.7,73.75
5,17,1974,17may1974,137,54,153.60001,77.5
5,18,1974,18may1974,138,51,83.669998,71.5
5,19,1974,19may1974,139,45,94,64.5
5,20,1974,20may1974,140,43,98,60.75
5,21,1974,21may1974,141,39,108.3,62.5
5,22,1974,22may1974,142,58,130.5,71.5
5,23,1974,23may1974,143,43,79.199997,70.25
