caseid,group,ppeducat,ppethm,ppgender,ppage
1,5,4,1,1,53
2,2,4,1,1,57
3,4,3,1,2,52
4,3,3,1,2,70
5,5,3,1,2,59
6,1,2,1,2,23
7,2,4,2,2,68
8,2,4,1,1,52
9,6,4,1,2,56
10,2,4,1,1,42
11,4,2,1,1,60
12,7,4,1,1,28 years
13,8,4,1,2,45
14,1,4,1,2,63
15,7,3,4,2,32
16,7,4,2,2,54
17,2,3,1,2,54
18,2,4,1,2,54
19,3,3,1,2,66
20,7,4,1,2,60
21,4,3,4,2,37
22,2,3,1,2,55
23,8,4,1,2,
24,4,3,1,2,59
25,8,4,1,2,61
26,4,4,1,2,31
27,1,4,1,2,25
28,2,2,1,2,59
29,8,4,1,1,49
30,3,4,1,2,63
31,7,4,2,2,37
32,7,4,1,1,66
33,5,4,2,2,69
34,5,4,1,2,64
35,6,3,1,2,41
36,5,4,4,2,41
37,5,4,1,2,32
38,1,3,1,2,50
39,7,2,1,2,44
40,6,2,1,2,53
41,7,4,1,2,32
42,8,3,4,2,61
43,8,4,1,2,58
44,7,4,1,2,42
45,2,4,1,2,46
46,1,4,1,2,59
47,3,4,2,2,30
48,9,4,1,2,68
49,4,3,1,2,22
50,1,4,1,2,31
51,9,3,1,2,69
52,2,3,1,2,29
53,6,4,2,2,50
54,9,4,1,1,56
55,1,4,1,2,75
56,5,3,1,1,58
57,6,4,2,2,61
58,3,4,1,2,45
59,6,3,1,2,50
60,3,4,1,2,52
61,5,3,1,2,66
62,9,4,1,2,39
63,4,4,2,1,28
64,4,4,2,2,34
65,3,3,1,2,54
66,9,4,2,2,55
67,8,3,1,2,29
68,8,3,1,2,63
69,9,4,1,2,50
70,4,4,2,2,60
71,8,3,1,2,65
72,6,4,1,1,55
73,8,4,1,1,65
74,8,1,1,2,63
75,3,4,1,1,54
76,5,4,1,2,41
77,9,3,1,2,66
78,2,4,1,2,63
79,4,4,1,2,51
80,9,4,1,1,42
81,6,2,1,2,60
82,7,4,1,2,48
83,6,4,1,2,28
84,6,4,1,2,69
85,3,4,1,1,53
86,7,4,1,2,29
87,9,4,1,2,50
88,1,4,3,1,59
89,2,3,1,1,69
90,1,2,1,1,49
91,1,4,1,2,62
92,2,3,2,1,51
93,4,3,1,2,65
94,7,4,1,1,60
95,3,4,1,1,59
96,8,4,1,2,65
97,7,3,1,2,59
98,3,3,2,1,54
99,8,4,1,2,42
100,2,4,1,2,64
101,5,3,1,1,55
102,3,4,1,2,41
103,2,4,1,2,52
104,5,4,1,2,43
105,1,3,1,2,56
106,2,4,1,2,58
107,2,4,1,2,57
108,6,4,1,1,61
109,1,3,5,2,60
110,1,4,1,2,79
111,4,4,1,2,41
112,8,4,1,1,70
113,5,3,1,2,49
114,6,3,1,2,44
115,7,3,1,1,75
116,7,4,1,2,46
117,1,4,1,2,
118,8,4,1,2,45
119,5,4,1,2,64
120,6,4,1,2,66
121,4,4,1,2,45
122,6,4,1,1,40
123,2,2,1,2,57
124,3,4,1,2,58
125,3,3,1,2,66
126,6,4,1,2,62
127,7,4,1,2,68
128,2,4,1,2,40
129,8,4,3,2,33
130,4,4,1,2,31
131,6,4,1,2,52
132,8,3,1,1,56
133,3,3,1,2,68
134,9,4,2,2,59
135,5,3,1,2,52
136,9,3,1,1,59
137,9,3,2,2,54
138,6,4,1,2,71
139,9,3,1,2,74
140,5,2,2,2,50
141,5,3,1,2,70
142,6,3,1,2,58
143,4,4,4,2,51
144,4,4,1,2,64
145,6,3,1,1,
146,8,3,1,2,62
147,7,4,3,1,37
148,1,3,4,2,62
149,7,4,1,1,78
150,2,3,2,2,40
151,3,4,1,2,61
152,3,4,3,2,44
153,3,4,5,2,44
154,8,3,1,2,52
155,8,2,1,2,30
156,8,4,4,2,66
157,3,4,1,2,63
158,1,4,1,2,63
159,4,4,1,2,70
160,5,3,1,2,58
161,9,4,1,2,36
162,4,4,1,2,45
163,7,4,1,2,60
164,4,4,1,2,66
165,3,2,2,2,72
166,9,4,1,2,43
167,4,4,1,2,52
168,9,4,1,2,77
169,4,4,1,2,53
170,7,3,1,2,68
171,3,4,1,2,67
172,8,3,1,2,52
173,7,4,1,1,52
174,8,4,1,2,60
175,6,4,1,2,30
176,8,4,1,1,55
177,8,4,1,2,38
178,7,4,1,2,55
179,6,4,1,2,63
180,7,3,1,2,53
181,7,3,1,1,
182,5,4,1,2,55
183,9,4,1,2,56
184,6,4,1,2,45
185,7,4,1,1,77
186,3,3,1,2,57
187,1,4,1,2,46
188,3,3,1,2,73
189,2,4,1,2,60
190,3,4,3,2,69
191,2,4,1,2,35
192,6,3,1,2,52
193,7,4,1,2,43
194,9,3,1,2,65
195,4,2,4,2,30
196,1,3,4,2,48
197,2,4,1,2,52
198,9,4,1,2,58
199,6,4,1,2,36
200,9,4,1,1,55
201,3,4,1,2,33
202,5,4,2,2,47
203,8,4,1,2,35
204,8,4,1,1,68
205,5,4,1,2,65
206,9,4,1,1,50
207,9,2,1,2,51
208,6,3,4,2,29
209,7,4,1,1,29
210,4,2,2,2,50
211,8,3,4,2,52
212,1,4,4,2,24
213,8,4,1,2,24
214,2,3,4,2,43
215,3,4,1,1,32
216,3,3,1,1,66
217,7,4,1,2,60
218,9,3,1,2,45
219,9,4,1,2,38
220,1,4,1,2,39
221,3,3,1,2,65
222,8,4,1,1,63
223,6,2,1,1,70
224,2,3,1,1,63
225,1,3,1,2,69
226,7,2,1,2,65
227,8,4,4,1,35
228,6,3,1,2,62
229,3,3,1,2,31
230,5,4,1,2,35
231,7,4,1,2,47
232,4,3,1,2,56
233,9,3,5,2,75
234,1,4,1,1,35
235,8,4,1,2,45
236,3,3,1,2,62
237,9,3,1,2,63
238,3,4,3,2,59
239,4,3,1,2,41
240,7,4,1,2,32
241,4,4,3,2,36
242,1,4,1,2,54
243,5,4,4,1,29
244,2,4,1,1,58
245,3,4,1,2,60
246,3,4,2,1,49
247,8,4,3,1,54
248,1,4,1,2,46
249,7,4,2,2,32
250,7,4,1,2,64
251,9,4,1,2,54
252,8,4,1,1,34
253,8,3,2,2,34
254,9,4,2,2,31
255,8,4,2,2,34
256,1,3,1,2,59
257,5,4,2,2,33
258,6,4,1,2,33
259,7,4,1,2,28
260,2,3,4,2,23
261,7,2,1,2,22
262,2,4,1,2,49
263,8,3,1,2,63
264,1,3,1,2,52
265,7,2,1,2,27
266,8,4,1,1,38
267,7,4,3,2,34
268,8,3,1,2,51
269,2,4,2,2,32
270,2,3,4,1,27
271,9,4,1,2,34
272,4,4,3,1,34
273,2,4,1,2,60
274,5,3,1,2,39
275,1,4,4,2,45
276,4,4,1,2,24
277,9,4,1,2,57
278,4,4,5,2,61
279,7,4,4,2,30
280,7,4,1,1,50
281,7,4,3,2,29
282,8,4,1,2,32
283,2,4,1,2,47
284,1,4,1,2,56
285,1,4,2,2,44
286,3,3,1,2,45
287,6,4,1,1,45
288,1,4,1,2,56
289,8,4,1,2,72
290,3,4,1,2,37
291,4,2,4,2,37
292,6,3,1,2,26
293,3,4,4,2,28
294,7,4,1,2,67
295,5,3,1,2,37
